,287C_Caecum,290B_Caecum,296C_Caecum,298C_Caecum,302C_Caecum,362C_Caecum,364B_Caecum,367C_Caecum,390C_Caecum,403C_Caecum,411C_Caecum,414C_Caecum,287C_Sigmoid,290B_Sigmoid,296C_Sigmoid,298C_Sigmoid,302C_Sigmoid,362C_Sigmoid,364B_Sigmoid,367C_Sigmoid,390C_Sigmoid,403C_Sigmoid,411C_Sigmoid,414C_Sigmoid,287C_Transverse,290B_Transverse,296C_Transverse,298C_Transverse,302C_Transverse,362C_Transverse,364B_Transverse,367C_Transverse,390C_Transverse,403C_Transverse,411C_Transverse,414C_Transverse
Fusobacteria_Fusobacteriaceae_Fusobacterium,0,0.842992624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Proteobacteria_Alphaproteobacteria_unclassified_Alphaproteobacteria_unclassified,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Proteobacteria_Betaproteobacteria_unclassified_Betaproteobacteria_unclassified,0,0,1.427115189,0,0,0,0,0,0,0,6.134020619,0,0,0,0,0,0,0,0,0,0,0,2.502553626,0,0,0,0,0,0,0,0,0,0,0,3.06122449,0
Proteobacteria_Bradyrhizobiaceae_Bradyrhizobiaceae_unclassified,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.053504548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Proteobacteria_Bradyrhizobiaceae_Bradyrhizobium,0,0,2.49745158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.051759834,0,0,0,0,0,0,0,0,0,0,0
Proteobacteria_Burkholderiaceae_Burkholderia,0.051706308,0,31.24362895,0.308641975,0,0,0,0,0,0,0,0,0.55387714,0.154004107,0.416883794,0.314136126,1.123595506,0,0,0,0,0,0,0,0,0.414078675,3.397804496,0,0,0,0,0,0,0,0,0
Proteobacteria_Burkholderiaceae_Ralstonia,0.051706308,0,14.16921509,0.051440329,0,0,0,0,0,0,0,0,0.050352467,0,0.104220948,0,0.481540931,0,0,0,0,0,0,0,0,0.051759834,1.202300052,0.050994391,0,0,0,0,0,0,0,0
Proteobacteria_Burkholderiales_incertae_sedis_Aquabacterium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Proteobacteria_Burkholderiales_incertae_sedis_Burkholderiales_incertae_sedis_unclassified,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Proteobacteria_Burkholderiales_unclassified_Burkholderiales_unclassified,0,0,0,4.166666667,0,0,2.21402214,0,9.830866808,0,0,0,0,0,0,1.465968586,0,0,0,0,11.86083289,0,0,0,0,0,0.052273915,2.44773075,0,0,0,0,3.5207567,0,0,0
Proteobacteria_Comamonadaceae_Acidovorax,0,0,0.356778797,0,0,0.050994391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Proteobacteria_Comamonadaceae_Comamonas,0,0,0,0,0,0.662927078,0,6.340206186,0,0,0,0,0,0,0,0,0,0,0,3.530031612,0,0,0,0,0,0,0,0,0,0.051519835,0,2.96875,0,0,0,0
Proteobacteria_Comamonadaceae_Curvibacter,0,0,0.713557594,0,0,0,0,0,0,0,0,0,0.050352467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Proteobacteria_Comamonadaceae_Hydrogenophaga,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Proteobacteria_Comamonadaceae_Pelomonas,0.051706308,0,2.44648318,0,0,0,0,0,0,0,0,0,0,0,0.104220948,0.052356021,0.053504548,0,0,0,0,0,0,0,0,0,0.365917407,0,0.05200208,0,0,0,0,0,0,0
Proteobacteria_Deltaproteobacteria_unclassified_Deltaproteobacteria_unclassified,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.053504548,0,0,0,0,0,0,0,0,0,0.156821746,0,0,0,0,0,0,0,0,0
Proteobacteria_Desulfovibrionaceae_Bilophila,0.051706308,3.371970495,0,0.360082305,0.051203277,0,0,0.257731959,0.792811839,0.368809273,0,0.050994391,0,2.72073922,1.198540907,1.413612565,0.321027287,0,0,0.368809273,0.632577754,0.369198312,0,0.304878049,0.051759834,6.055900621,0.522739153,0.356960734,0.15600624,0,0,0.416666667,2.101944298,0.212314225,0,0.102040816
Proteobacteria_Desulfovibrionaceae_Desulfovibrio,0,0,0,0,0,0,0,0.87628866,0,0,0,0.050994391,0,0,0,0,0.374531835,0,0,1.369863014,0,0,0,0.203252033,0,0,0,0,0.416016641,0,0,1.302083333,0,0,0,0
Proteobacteria_Desulfovibrionaceae_Desulfovibrionaceae_unclassified,1.034126163,0,0,0,0,0,0,0,0,0,0,0,0.100704935,0,0,0,0,0,0,0,0,0,0,0,1.086956522,0,0,0,0,0,0,0,0,0,0,0
Proteobacteria_Desulfovibrionales_unclassified_Desulfovibrionales_unclassified,0,0,0,0,0,0,0,0,0,0.842992624,0,0,0,0,0.104220948,0,0,0,0,0,0.105429626,0.26371308,0,0,0,0,0,0,0,0,0,0,0,0.159235669,0,0
Proteobacteria_Enterobacteriaceae_Citrobacter,0,0,0,0,0,0.509943906,0,0,0,0,0,0,0,0,0,0,0,0.159235669,0,0,0,0,0,0,0,0,0,0,0,0.257599176,0,0,0,0,0,0
Proteobacteria_Enterobacteriaceae_Enterobacteriaceae_unclassified,0.051706308,0,4.128440367,0,1.945724526,29.01580826,0,22.57731959,0,0.105374078,0,0.407955125,0,0,0,0,1.76565008,4.299363057,0,15.17386723,0,0.052742616,0,0.355691057,0,0,0.209095661,0,0.728029121,30.08758372,0,19.73958333,0,0.159235669,0,0.306122449
Proteobacteria_Enterobacteriaceae_Escherichia_Shigella,3.309203723,0,0.203873598,0,9.882232463,0,19.6626252,0.979381443,0,4.056902002,0.051546392,27.58796532,0,0,0,0.104712042,8.560727662,0,47.7619532,2.160168599,0,12.44725738,0.357507661,40.34552846,0,0,6.272869838,0.050994391,3.432137285,0.051519835,50.51387461,1.979166667,0,6.794055202,0.56122449,28.82653061
Proteobacteria_Enterobacteriaceae_Morganella,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Proteobacteria_Enterobacteriaceae_Proteus,0,0,0,0,0,11.67771545,0,0,0,0,0,0,0,0,0,0,0,2.441613588,0,0,0,0,0,0,0,0,0,0,0,11.12828439,0,0,0,0,0,0
Proteobacteria_Legionellaceae_Legionella,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Proteobacteria_Methylobacteriaceae_Methylobacterium,0,0,1.732925586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Proteobacteria_Moraxellaceae_Acinetobacter,0,0,0.611620795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.052273915,0,0,0,0,0,0,0,0,0
Proteobacteria_Moraxellaceae_Enhydrobacter,0,0,0,0,0,0.101988781,0,0,0,0,0,0,0,0,0,0,0.053504548,0,0,0,0,0,0,0,0,0,0.209095661,0,0,0,0,0,0,0,0,0
Proteobacteria_Oxalobacteraceae_Massilia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.052273915,0,0,0,0,0,0,0,0,0
Proteobacteria_Oxalobacteraceae_Undibacterium,0,0,1.27420999,0,0,0,0,0,0,0,0,0,0,0,0,0,0.053504548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Proteobacteria_Pasteurellaceae_Haemophilus,0,0,0,0,0,0,0,0,0.052854123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Proteobacteria_Pasteurellaceae_Pasteurellaceae_unclassified,0,0,0,0,0.307219662,0,0,0,0,0,0,0.050994391,0,0,0,0,0,0,0,0,0.105429626,0,0,0.050813008,0,0,0,0,0,0,0,0,0,0,0,0.051020408
Proteobacteria_Proteobacteria_unclassified_Proteobacteria_unclassified,0,0,0.458715596,0,0,0,0,0.567010309,0,0,0,0,0,0,0,0,0,0,0,0.105374078,0,0,0,0,0,0,0,0,0,0,0,0.3125,0,0,0,0
Proteobacteria_Pseudomonadaceae_Pseudomonas,0.051706308,0,0.101936799,0,0,0,0,0,0,0,0,0,0,0,0,0,0.107009096,0,0,0,0,0,0,0,0,0,0.052273915,0,0,0,0,0,0,0,0,0
Proteobacteria_Rhizobiales_unclassified_Rhizobiales_unclassified,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Proteobacteria_Sutterellaceae_Parasutterella,2.119958635,7.79768177,0.611620795,0,0,0,0,0,0.052854123,20.07376185,0.412371134,0.050994391,0,6.314168378,1.146430433,0,0,0,0,0,0.052714813,13.08016878,0.357507661,0.050813008,1.035196687,7.660455487,0.104547831,0,0,0,0,0,0,17.14437367,0.459183673,0
Proteobacteria_Sutterellaceae_Sutterella,0,0,0,2.211934156,6.554019457,0.407955125,3.057459146,8.556701031,0,0.632244468,0,6.374298827,0,0,0,2.356020942,0.963081862,8.492569002,0.305188199,7.27081138,0,0.685654008,0,6.910569106,0,0,1.359121798,3.875573687,5.512220489,1.648634724,0.308324769,7.03125,0,0.477707006,0,6.887755102
Proteobacteria_Xanthomonadaceae_Dyella,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.052273915,0,0,0,0,0,0,0,0,0
Proteobacteria_Xanthomonadaceae_Xanthomonadaceae_unclassified,0,0,1.019367992,0,0,0,0,0,0,0,0,0,0,0,0,0,0.107009096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Verrucomicrobia_Verrucomicrobiaceae_Akkermansia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.35078534,0,0,0,0.158061117,0,0,0,0,0,0,0,0.050994391,0,0,0,0,0,0,0,0
