Column1,287C-Caecum_IgA,290B-Transverse_IgG,290B-Sigmoid_IgA,290B-Sigmoid_IgG,296B-Caecum_IgA,296C-Caecum_IgG,296C-Transverse_IgA,296C-Transverse_IgG,296C-Sigmoid_IgA,296C-Sigmoid_IgG,298C-Caecum_IgA,287C-Caecum_IgG,298C-Caecum_IgG,298C-Transverse_IgA,298C-Transverse_IgG,298C-Sigmoid_IgA,298C-Sigmoid_IgG,302C-Caecum_IgA,302C-Caecum_IgG,302C-Transverse_IgA,302C-Transverse_IgG,302C-Sigmoid_IgA,287C-Transverse_IgA,302C-Sigmoid_IgG,312C-Caecum_IgA,312C-Caecum_IgG,312C-Transverse_IgA,312C-Transverse_IgG,312C-Sigmoid_IgA,312C-Sigmoid_IgG,D8-fecal_IgA,D8-fecal_IgG,D8-fecal_IgG2,287C-Transverse_IgG,287C-Sigmoid_IgA,287C-Sigmoid_IgG,290B-Caecum_IgA,290B-Caecum_IgG,290B-Transverse_IgA
Actinomyces odontolyticus,102,913,2172,957,461,1315,305,1088,1728,1315,183,0,217,18748,861,256,254,3201,6647,2510,4071,1596,147,3227,728,1502,873,574,142,496,5829,1640,297,139,344,542,7264,7108,1849
Lactobacillus casei,30230,61,87,102,74,248,102,14,53,71,65,0,53,87,226,40,22,45,32,105,141,72,20357,68,45,62,31,35,9,201,30,181,182,24184,49,202,106,332,1430
Gemmobacter nectariphilus,61,1621,836,4210,212,225,295,165,670,419,114,0,102,2511,5938,96,67,76,52,37974,4893,239,126,205,549,100,79,67,42,1011,126,324,0,164,488,8746,68,82,3230
Pseudomonas resinovorans,672,2274,1528,2189,4300,1858,6221,2251,2572,2078,1736,0,868,3159,2832,1779,832,876,884,1964,1765,2717,3092,1760,1351,1136,2014,724,1094,1929,1164,713,1,1981,4376,4494,329,292,3710
Pseudomonas parafulva,742,1404,1190,1728,4624,2073,7138,2602,2746,1221,1890,0,912,1538,2036,1985,903,920,845,1337,876,2985,3534,1942,1333,1102,2196,701,1088,1386,1305,479,2,2297,4983,3839,351,219,1912
Bacteroides clarus,819,370,740,444,739,471,893,556,383,197,1103,0,904,421,483,1418,1194,799,790,403,145,745,2141,623,636,704,922,607,355,303,35092,11334,10,1428,558,368,511,281,444
Bacteroides finegoldii,359,527,728,322,1292,749,1790,1001,542,425,1777,0,1370,655,980,2711,2537,7997,7269,247,160,2057,480,1876,6016,4938,8383,2560,2038,1849,1713,648,1,334,587,404,1263,620,586
Ralstonia pickettii,240,2777,1754,2581,2307,1894,3462,441,2354,2847,185,0,119,2892,3120,161,111,114,47,2534,2326,220,256,141,967,850,524,304,273,9459,391,7047,2,504,1489,10538,133,162,3429
Coprococcus eutactus,1305,120,1615,73,601,1212,623,1933,80,72,1409,0,1868,237,374,1360,1574,2337,3718,72,50,9127,1258,7477,2718,3058,4544,2282,1202,823,5485,1607,1,1298,74,209,4563,2182,409
Brevundimonas aveniformis,18,1950,641,51472,150,215,229,90,204,260,101,0,22,3776,1369,31,35,44,16,1275,898,78,48,38,103,76,56,50,10,1466,67,306,1,75,439,983,66,92,1815
Roseburia inulinivorans,161,240,1012,91,192,336,222,448,107,79,629,0,925,127,235,680,812,8678,13173,81,58,4129,225,5238,1527,2339,2062,1149,2209,1514,3170,816,3,235,34,116,9444,4838,201
Clostridioides difficile,831,1150,3078,1353,2109,2516,2536,3632,1103,1086,1357,0,1434,1416,1496,1530,1273,1088,1432,1254,1494,931,950,1304,1008,1365,731,786,2263,3945,1971,3832,13,1147,721,3570,5447,1129,1789
Bacteroides intestinalis,82,105,7765,482,888,524,1314,544,156,97,632,0,567,167,273,1103,985,371,372,99,66,232,139,204,508,572,738,516,278,138,1963,664,2,94,67,58,21630,9051,12553
Klebsiella oxytoca,71,5613,2948,3984,426,472,702,131,753,1472,193,0,103,3098,3397,91,77,172,107,3110,1096,244,120,149,1728,1715,4757,4349,8347,6546,103,923,2,196,623,1878,206,261,3923
Phascolarctobacterium succinatutens,89,56,368,70,5488,22359,5457,21255,14,71,175,0,179,65,63,142,158,270,306,40,40,218,376,479,276,486,323,387,102,120,1075,361,2,371,17,21,418,270,121
Bacteroides coprocola,433,60,110,39,167,124,300,157,161,127,1588,0,1572,269,565,1959,1666,4450,4069,89,175,1721,556,1644,6036,8031,13943,8796,651,475,921,357,1,448,57,56,63,66,119
Streptococcus oralis,48,969,926,1555,353,251,266,77,412,385,123,0,104,7627,1414,119,104,1065,5858,1602,452,7673,49,8366,322,659,428,253,65,1080,519,371,390,50,145,634,7041,5624,3933
Roseburia faecis,189,337,1620,85,282,434,379,653,96,59,975,0,1007,180,206,1000,993,1337,1508,66,71,795,241,1065,486,618,715,447,1169,393,6064,1496,291,295,117,250,18969,10710,511
Citrobacter amalonaticus,35,1922,934,697,110,141,191,25,350,437,74,0,20,652,969,30,30,431,487,847,201,403,49,306,2528,2783,8902,7973,15212,6248,17,196,1,20,149,510,58,29,1009
Anaerostipes caccae,201,5902,3047,4964,463,466,649,464,218,478,423,0,394,3997,5209,416,471,328,204,4207,788,225,265,297,358,473,337,293,443,6757,1184,1288,3,332,116,1410,635,579,6066
Novosphingobium nitrogenifigens,25,4024,1049,3800,290,595,644,194,625,734,242,0,81,16055,4211,67,67,61,24,3135,4627,129,62,103,171,120,59,68,33,4217,99,373,1,101,235,2795,162,206,2734
Rhizobium selenitireducens,308,2232,1007,4271,981,594,1352,871,1048,492,588,0,507,4678,2692,845,444,365,362,1687,2423,1086,1175,773,715,630,500,421,453,1405,442,581,1,948,1559,10211,194,204,1839
Alistipes timonensis,698,375,276,252,300,300,404,431,176,115,4239,0,6615,1968,1112,3947,5096,73,151,229,185,553,2232,683,2473,2610,3985,3333,2646,1776,762,314,1,1580,99,222,61,48,314
Dialister invisus,3,101,22,32,15,34,21,30,20,28,11023,0,13714,4390,4587,5950,6733,14,13,1727,41,37,13,41,194,249,221,211,70,46,56,43,2,16,13,17,26,40,32
Inquilinus limosus,107,3667,1636,9731,508,507,749,499,699,639,331,0,181,7204,3726,262,176,186,111,3120,2945,417,336,279,441,298,248,206,142,1886,271,560,2,324,853,2626,182,227,3204
Haemophilus parainfluenzae,12,367,191,1012,259,247,99,9,1408,925,69,0,45,31185,826,15,4,516,7726,533,104,18,14,95,212,379,148,67,123,948,63,115,1,20,32,511,58,133,869
Parabacteroides johnsonii,120,122,139,55,4357,3164,6372,3669,6019,5064,1152,0,953,480,1087,1939,1928,1412,2050,47,83,1164,122,1110,486,445,746,575,368,206,2266,303,0,128,138,248,149,95,119
Intestinibacter bartlettii,189,120,164,89,44,97,78,126,25,35,85,0,64,126,110,66,60,2376,31524,113,42,674,146,1573,681,2546,1093,1647,10,85,1582,263,2,261,31,64,705,326,103
Roseomonas mucosa,52,3251,1641,8130,355,465,551,311,430,527,191,0,1389,4978,3731,164,126,115,51,2945,1771,255,156,177,462,385,330,251,235,2481,170,600,2,145,636,4206,216,289,4713
Eubacterium limosum,858,624,440,89,609,1755,599,2361,86,85,4956,0,7317,450,1989,4108,5754,184,308,134,63,258,890,322,481,547,491,506,261,156,682,423,2,882,1310,4186,1001,490,302
Bifidobacterium dentium,1111,86,48,152,266,376,122,217,67,33,6028,0,3514,1808,1811,12721,10579,74,115,177,468,90,1392,101,202,347,388,735,15,49,132,76,0,1718,20,27,8,35,402
Pleomorphomonas koreensis,70,3443,1406,6369,397,349,634,303,587,483,236,0,130,6475,3106,247,129,148,89,4382,2850,356,284,298,522,447,347,340,278,1620,124,540,0,261,700,3073,168,215,2599
Citrobacter braakii,74,1835,848,1335,379,205,595,126,398,416,129,0,54,932,1213,125,58,234,198,866,290,326,141,189,1861,2111,5873,5552,10515,4200,76,220,0,136,354,850,50,64,1046
Aurantimonas coralicida,154,3105,1453,6827,535,427,845,451,899,356,404,0,302,5492,3295,403,220,208,159,2889,2152,591,592,358,500,514,358,312,224,1402,258,506,3,523,1017,3013,132,227,2415
Ruminococcus lactaris,128,136,732,191,375,834,437,1241,81,78,338,0,404,127,242,368,409,1656,2395,84,51,1292,223,1569,5142,6344,4155,3619,1871,801,1357,490,2,261,53,244,3216,2080,394
Olsenella uli,83,52,107,313,1793,10370,2112,15487,3276,1627,366,0,387,156,149,840,1038,68,113,65,366,447,193,443,484,565,480,574,146,118,143,81,1,315,6,28,45,62,51
Citrobacter freundii,41,1035,473,502,106,87,114,38,1114,1332,42,0,25,697,609,23,31,86,75,290,121,102,42,73,1841,2171,6467,6148,11804,4641,21,153,219,32,165,312,11,42,1497
Prevotella stercorea,5,75,93,13,36,25,56,19,22,10,269,0,210,48,89,323,317,6731,8721,52,92,10200,18,11577,528,554,1036,506,265,149,103,42,0,13,6,22,54,30,19
Enorma massiliensis,41,89,107,38,1844,10089,1508,13401,1865,1070,348,0,619,106,173,797,1149,256,541,122,269,425,91,428,882,808,894,1022,181,482,185,81,0,163,5,36,49,34,190
Salinarimonas rosea,49,4973,1390,6626,291,339,429,351,560,442,179,0,113,5508,2734,149,130,100,77,2420,3109,335,190,230,355,242,148,150,92,1409,171,499,4,157,497,2090,137,229,3207
Actinomyces naeslundii,98,1252,613,1356,215,975,341,547,898,662,113,0,54,1901,2377,75,49,67,148,2882,3539,142,241,509,306,383,420,240,203,652,371,150,0,853,71,861,526,10867,4595
[Propionibacterium] humerusii,45,3230,3592,2203,1531,608,576,116,628,800,182,0,98,2870,2532,32,27,137,23,4517,1185,91,75,110,403,792,55,28,19,4816,297,251,17,37,1474,1381,56,139,4154
Paenibacillus chitinolyticus,5,144,75,180,23,63,34,104,18,24,44,0,63,67,714,52,73,38,33,356,362,91,25,98,65,60,50,48,26,19,37,26,34932,21,11,14,21,85,172
Kaistia granuli,98,3107,1432,5368,497,379,730,465,638,434,309,0,222,5796,2601,304,188,168,117,2033,2204,557,464,359,417,321,265,195,158,1406,222,498,2,384,752,2514,138,206,2116
Rothia mucilaginosa,18,493,1607,1006,353,65,182,87,385,611,64,0,42,23095,1897,86,29,194,320,897,769,141,17,97,255,242,50,51,13,813,685,161,0,11,50,926,942,353,982
Tepidiphilus margaritifer,18,340,773,548,57,101,102,100,4448,286,52,0,41,304,664,63,65,32,13,3500,22354,65,32,133,303,224,376,296,335,491,37,87,0,35,67,229,22,50,314
Streptococcus sanguinis,39,271,231,443,133,122,198,55,538,436,62,0,48,538,863,42,51,69,112,530,190,49,135,235,114,243,156,94,50,311,210,115,453,106,22,464,13749,13539,1791
Paenibacillus barengoltzii,14,141,167,88,13,46,30,54,370,19,20,0,22,62,519,27,49,36,33,980,3174,58,10,73,234,203,355,227,349,154,53,34,28582,7,2,55,8,58,410
Bacteroides coprophilus,143,48,69,26,784,633,1147,519,258,165,1770,0,1780,254,514,1768,1742,5707,5598,60,117,2269,240,2030,1279,1433,2339,1714,528,346,414,150,0,160,212,125,60,38,106
Novosphingobium acidiphilum,26,2812,791,3051,227,355,404,118,538,440,159,0,72,10168,2518,77,54,65,38,1973,4479,198,70,171,133,92,59,43,49,2507,88,290,3,83,188,1811,129,119,1626
Bacteroides salanitronis,775,225,112,64,524,317,631,382,302,140,881,0,875,134,274,1095,988,1087,1128,73,148,783,1016,836,3622,3736,6130,3944,1651,813,210,101,0,722,1131,793,107,41,154
Prevotella buccalis,126,420,377,420,92,66,118,48,192,111,187,0,182,350,362,401,349,5218,6150,428,112,7397,193,8555,358,356,389,236,97,102,156,111,0,137,343,304,48,55,540
Luteimonas mephitis,80,829,726,1665,328,140,390,290,982,258,123,0,75,1032,13778,129,69,84,68,1956,5026,174,231,145,476,215,249,202,235,443,109,162,0,258,448,2423,49,51,960
Collinsella stercoris,18,267,221,209,1043,6371,1204,8266,1671,802,835,0,1155,201,432,1885,2222,411,567,176,285,477,114,514,768,793,828,787,245,266,513,206,0,132,11,65,55,94,219
Adlercreutzia equolifaciens,47,41,68,284,184,2016,185,1531,185,93,362,0,753,58,148,875,1086,2994,13484,59,144,1051,108,1891,528,496,545,522,233,157,2226,1238,0,108,7,18,50,55,41
Thermomonas fusca,64,689,657,1239,292,151,366,276,1003,291,109,0,83,847,13503,135,71,86,76,1858,5121,215,193,150,431,176,283,171,165,524,179,162,5,203,425,2260,48,53,902
Microvirga flocculans,72,3525,1084,4154,253,295,483,229,386,404,208,0,115,4971,2543,146,109,90,58,2162,1785,247,274,184,438,337,346,301,290,1213,165,465,0,238,475,2017,109,169,2718
Wenxinia marina,43,1209,573,5132,161,206,220,162,348,357,84,0,45,1702,2540,68,51,54,31,6278,1939,153,91,104,378,165,199,138,178,802,146,238,2,77,388,6003,47,119,2507
Prevotella micans,7,4571,3484,4057,317,143,351,45,1146,553,162,0,203,1202,1953,101,30,470,529,1007,374,976,35,1140,787,622,333,142,222,554,65,367,0,47,1112,1053,159,162,4380
Rubrivivax benzoatilyticus,37,1622,807,2552,240,298,359,187,1300,438,154,0,69,1667,3473,107,81,57,32,2377,8117,187,106,138,479,351,521,354,416,935,144,278,1,98,248,1030,123,177,2885
Acidovorax oryzae,68,1699,910,2105,465,287,620,192,1189,520,203,0,131,2089,3083,156,120,102,92,2879,5060,251,190,273,573,429,477,389,491,1141,191,455,4,149,338,2009,93,191,2447
Martelella mediterranea,178,1741,834,3570,530,424,851,464,721,298,356,0,272,3380,2452,425,253,195,175,1606,1755,575,623,355,447,501,350,324,272,985,234,334,0,517,812,3588,115,152,1381
Corynebacterium pseudogenitalium,42,1614,710,1453,591,128,252,41,4007,1919,102,0,54,1757,1541,24,35,117,61,7073,530,246,24,177,280,715,278,219,157,1872,171,422,278,33,590,736,60,150,3108
Porphyrobacter cryptus,21,2346,812,3416,174,276,371,125,614,414,122,0,42,6695,2247,35,41,37,19,2843,4382,109,49,85,169,88,49,47,19,1653,67,262,2,53,206,1699,95,83,1652
Bifidobacterium thermacidophilum,242,175,547,265,180,270,128,252,1579,188,812,0,678,287,1913,1697,1346,132,98,2271,14253,66,656,116,201,220,233,170,193,188,130,260,2,518,129,109,24,22,146
Curvibacter gracilis,75,1789,988,1537,451,370,716,255,1130,608,192,0,128,2529,3264,178,113,103,85,2401,4541,249,211,191,378,270,344,260,246,1098,201,512,172,163,486,1556,127,127,2359
Staphylococcus hominis,113,1389,1946,1977,682,103,435,122,142,401,114,0,114,847,1385,53,134,71,28,9502,635,68,236,112,213,431,55,15,4,506,183,981,6,807,197,1608,82,168,4425
Agrobacterium larrymoorei,174,729,421,1753,607,363,746,519,758,210,321,0,247,1505,1021,414,179,181,151,857,838,566,619,404,457,421,412,302,405,688,273,199,2,571,819,10968,82,64,967
Xanthomonas oryzae,103,682,1345,1221,472,192,448,551,655,268,124,0,95,840,8300,134,106,127,89,1998,2535,252,247,173,527,239,317,213,219,601,150,163,1,382,453,3926,59,35,1074
Pseudooceanicola nanhaiensis,41,1412,576,3898,180,255,299,282,348,299,87,0,55,2216,3406,67,52,68,39,3902,1833,157,81,109,234,142,98,84,35,841,100,261,0,88,329,4782,58,101,2282
Roseomonas cervicalis,43,1936,789,6779,229,218,334,211,290,313,130,0,84,3821,2429,139,90,48,40,1877,1526,238,153,156,399,225,306,237,225,1048,150,420,0,173,409,1393,79,134,1569
Ruminococcus champanellensis,156,127,1527,122,123,171,112,245,31,23,535,0,890,48,217,483,636,384,810,59,84,3789,440,2908,702,1389,1107,1437,532,569,4799,1345,3,525,9,41,448,471,189
Pannonibacter phragmitetus,113,1626,663,3517,406,285,528,361,476,267,277,0,186,3420,1860,293,153,163,140,2122,1406,383,405,272,447,301,309,213,260,950,188,294,0,362,604,2370,105,140,1289
Amorphus coralli,63,2225,924,4246,243,212,354,221,411,304,181,0,118,3807,2154,150,100,85,75,1259,1672,217,212,152,388,369,406,302,375,1114,169,373,0,204,436,1616,86,131,1570
Lactobacillus salivarius,3829,212,155,154,131,165,62,16,37,17,3479,0,3698,169,823,599,1094,68,86,45,147,34,5987,134,29,39,10,4,5,21,15,30,1,4192,97,930,70,87,200
Pseudodonghicola xiamenensis,57,1056,423,2697,162,164,286,156,245,236,109,0,69,2255,2735,101,74,33,31,7500,1192,112,105,107,415,247,344,257,343,772,103,211,2,74,256,2327,65,80,1457
Asticcacaulis benevestitus,25,1944,498,9270,203,251,275,134,207,291,138,0,56,3898,1385,87,87,60,33,855,778,157,113,97,153,126,109,97,141,1501,89,285,2,80,332,932,73,134,1820
Limimaricola hongkongensis,38,1157,570,4272,154,248,240,194,256,291,87,0,44,1979,3053,71,45,46,21,3546,1482,169,92,109,257,113,99,69,41,594,113,205,0,94,331,4237,61,83,2037
Desulfovibrio piger,36,75,37,62,156,115,187,210,48,34,63,0,75,136,111,125,169,1321,2218,127,261,3053,122,4592,2132,1940,2364,1834,2155,1012,176,104,84,146,15,62,81,52,110
Acinetobacter haemolyticus,24,3266,1758,2092,192,359,356,9,374,339,101,0,47,2487,3447,36,16,97,15,2404,359,52,26,137,175,159,118,91,93,470,47,576,3,46,133,2634,189,129,2637
Comamonas composti,103,1227,711,2605,540,360,969,271,801,408,261,0,115,2359,2093,224,136,94,89,1781,2128,400,347,245,370,309,397,184,191,1038,225,296,2,245,546,1415,90,69,1834
Porphyromonas uenonis,0,36,110,27,13,12,14,7,25,19,5,0,5,48,25,4,3,64,109,50,99,7762,1,15692,129,129,198,129,141,80,31,14,0,1,6,24,5,9,95
Ruminococcus faecis,103,4,270,34,105,222,146,318,13,18,597,0,477,172,84,390,212,3560,5857,4,7,3135,139,3598,39,164,97,124,56,68,1028,225,0,177,20,51,1496,1421,217
Lysobacter defluvii,47,560,560,2182,187,70,176,208,907,210,60,0,47,718,7763,79,96,47,44,1711,4872,104,114,100,221,61,87,59,45,295,83,82,2,147,253,1499,16,28,561
Thalassobaculum salexigens,52,1543,587,5376,218,240,312,208,311,226,133,0,91,3375,1566,101,86,78,39,1364,1611,159,152,110,267,175,211,188,182,859,91,287,1,124,358,1195,90,109,1423
Veillonella parvula,16,608,154,291,128,95,117,38,456,349,318,0,315,13145,469,228,252,400,554,319,150,323,20,856,155,402,241,160,48,241,166,89,715,27,32,150,223,275,969
Oryza sativa,16,654,449,393,115,69,105,43,110,172,44,0,27,1459,1295,34,34,67,25,465,123,53,34,95,906,1280,3326,2915,5704,2324,31,94,0,18,59,256,63,32,520
Marvinbryantia formatexigens,314,77,1578,94,359,569,397,797,64,48,669,0,1021,273,318,1025,1359,1022,1111,87,75,1029,590,977,481,574,483,440,355,429,1318,745,2,541,44,126,2421,1163,426
Holdemania filiformis,841,72,1813,115,111,607,314,568,64,37,302,0,560,46,110,458,548,114,378,48,51,705,1468,1796,1002,1082,1043,1083,703,300,2411,881,4,1057,56,127,1318,625,285
Paraprevotella clara,724,161,86,59,361,440,739,269,352,424,315,0,271,92,156,301,214,2710,4332,81,97,1050,827,1908,692,742,1001,705,426,431,170,198,1,567,969,825,159,102,136
Blautia hansenii,102,23,318,71,329,462,346,1034,28,15,813,0,775,147,254,598,718,3112,778,85,21,586,217,588,296,446,287,287,4432,1360,1714,531,227,218,28,111,789,419,197
Granulicatella adiacens,6,135,123,144,87,40,47,15,77,53,32,0,16,1575,153,18,6,59,77,173,150,16,10,106,109,273,139,86,43,114,239,45,252,3,40,93,8637,8743,628
Geminicoccus roseus,41,1360,510,3905,194,189,271,209,312,265,120,0,96,2834,1473,116,114,59,54,1698,1673,147,158,137,439,306,405,311,371,857,122,275,0,140,277,1313,106,84,1271
Arenimonas composti,44,799,606,1559,195,110,249,177,628,172,105,0,62,1092,5874,70,76,57,35,1361,4354,139,121,126,313,180,214,176,231,429,140,180,0,115,273,1147,34,65,655
Porphyromonas asaccharolytica,0,194,217,126,40,18,63,12,31,35,9,0,4,36,41,22,9,30,59,45,47,6418,1,13948,88,72,106,64,43,60,19,31,0,4,20,42,1,8,170
Hyphomicrobium zavarzinii,30,1593,678,3386,191,192,278,192,346,224,112,0,81,3235,1383,101,62,61,47,2858,1907,174,120,134,189,145,95,84,104,633,85,274,0,98,280,1044,66,99,1168
Afifella pfennigii,45,1791,663,2229,224,217,372,252,374,305,171,0,119,3234,1549,159,101,101,102,1241,1522,257,185,232,355,257,270,206,199,902,164,291,0,192,415,1374,71,103,1496
Pleomorphomonas oryzae,71,1429,715,2685,255,294,360,358,318,270,248,0,152,2994,1530,202,133,132,91,1019,1213,269,319,169,394,345,373,285,301,759,159,285,4,227,437,1212,68,131,1257
Collinsella intestinalis,8,104,145,76,728,4179,776,5441,1113,554,595,0,793,195,241,1264,1483,155,274,100,146,280,56,315,434,445,405,473,52,99,126,51,1,79,13,34,39,23,131
Rhizobium undicola,119,695,422,2009,453,284,583,380,503,171,322,0,265,1622,1081,379,200,185,176,528,834,460,579,355,324,324,200,176,193,513,236,192,1,459,688,4283,95,83,705
Bacteroides gallinarum,112,158,128,72,1086,635,1437,834,314,132,1223,0,860,260,460,1555,1341,519,532,59,107,427,229,429,1172,1208,1553,1212,646,451,955,323,0,125,72,87,89,47,160
Comamonas badia,35,1110,642,1298,150,117,216,52,890,293,97,0,102,1125,1929,77,126,32,25,1578,4881,86,79,112,461,310,414,322,486,680,142,256,2,66,142,930,41,56,1634
Acinetobacter junii,72,2156,1318,1972,160,135,176,9,2597,1218,98,0,45,1492,1565,47,33,103,61,1735,242,112,14,336,83,72,28,19,34,442,51,331,5,35,122,947,77,154,2829
Barnesiella viscericola,182,233,100,37,129,99,225,108,73,50,222,0,220,139,91,488,325,728,674,61,123,437,273,393,2407,2355,3941,2766,1879,1026,294,107,2,194,71,71,51,34,131
Corynebacterium accolens,28,2664,382,793,605,187,168,25,2253,2933,133,0,44,685,1632,36,35,94,7,2016,426,96,53,170,148,1692,32,26,11,460,156,133,1,89,140,523,28,55,1733
Corynebacterium kroppenstedtii,14,1675,1259,1068,144,219,225,51,207,257,106,0,21,1812,2094,17,19,58,6,1324,477,30,28,35,79,64,28,21,10,1113,32,294,0,44,175,546,45,161,6929
Microbacterium paraoxydans,19,854,673,565,70,70,115,82,994,333,42,0,26,530,565,62,48,27,13,2587,9132,54,19,91,273,81,63,54,15,412,22,95,1,31,168,342,30,29,1971
Sphingomonas astaxanthinifaciens,19,1333,638,3686,179,126,288,61,331,282,70,0,29,2795,1745,33,19,38,21,1795,2237,124,54,85,132,68,57,47,26,888,74,195,1,72,162,1309,42,65,1294
Streptococcus infantis,20,396,391,447,151,55,71,21,230,185,46,0,42,8698,459,41,54,292,629,717,152,275,10,435,127,264,111,74,22,244,273,268,27,11,110,383,1937,2141,538
Brachymonas chironomi,264,533,374,529,817,393,1248,396,773,262,373,0,167,745,1338,319,191,125,128,1079,2265,453,479,334,607,307,633,298,433,557,223,174,0,329,806,1198,81,72,947
Enterococcus columbae,71,156,720,341,29,32,44,51,1684,128,112,0,83,215,1076,83,78,135,204,1437,11569,48,135,374,34,49,21,26,39,172,49,94,325,134,20,71,51,29,249
Prevotella buccae,7,62,51,19,35,22,37,18,64,21,339,0,277,208,144,652,718,2552,3112,103,233,4229,29,4656,254,308,670,317,165,174,63,33,0,24,11,12,10,23,28
Peptoniphilus harei,86,1080,699,1024,515,265,630,78,488,596,47,0,33,790,1511,6,16,54,3,2666,158,40,37,59,200,163,58,35,21,1865,88,1628,0,102,281,1650,571,528,1423
Parasutterella excrementihominis,2082,23,30,12,1512,912,1040,469,5,5,287,1,652,27,23,179,300,91,131,27,38,46,3653,128,45,43,71,49,34,19,2698,1381,195,3011,68,24,37,35,44
Stappia stellulata,74,1195,532,2718,253,195,398,243,391,191,205,0,119,2733,1294,182,121,79,91,1156,1280,267,283,207,210,215,147,158,148,664,126,251,204,248,375,1260,74,85,1028
Elioraea tepidiphila,22,1555,620,2490,133,267,256,164,243,235,89,0,53,3019,1458,80,68,45,33,1474,1507,139,80,124,288,198,210,185,169,706,84,248,29,90,248,1257,74,116,1342
Lysobacter spongiicola,52,485,365,1358,152,100,201,181,483,162,90,0,38,678,7150,86,56,102,87,1038,2790,144,166,120,220,73,64,50,36,189,130,127,0,165,223,1225,25,24,542
Achromobacter piechaudii,119,699,1174,792,386,281,638,337,472,257,255,0,139,1327,3507,252,159,132,106,738,1379,333,364,289,258,183,234,133,220,818,148,244,0,274,643,803,173,91,803
Oxalobacter formigenes,4,102,48,102,33,59,68,81,48,38,54,0,65,85,124,65,74,37,42,51,93,63,26,66,2944,2083,3747,2694,4157,1604,155,45,0,28,33,84,24,13,97
Rubritepida flocculans,16,1370,448,4297,125,238,185,223,257,189,76,0,72,2252,1696,58,69,35,23,1384,1543,120,42,85,243,203,137,103,70,745,125,223,0,60,180,935,55,76,1124
Prevotella bivia,1,28,9,67,44,18,32,8,23,18,17,0,2,62,21,26,16,2427,2879,5520,70,2861,10,3219,321,294,316,193,150,126,64,24,0,7,61,14,7,7,58
Derxia gummosa,45,1076,614,2188,255,340,448,309,558,349,183,0,121,1728,1573,168,147,68,72,1154,2610,219,137,191,171,164,208,129,180,600,121,298,0,123,274,874,92,75,1151
Chitinimonas koreensis,44,1117,475,1578,281,208,410,193,571,332,130,0,88,1672,1890,144,108,71,66,1226,2616,260,165,181,265,214,254,190,183,595,129,235,262,152,293,1126,76,93,1079
Neomegalonema perideroedes,25,1165,430,3485,114,196,215,132,221,210,73,0,50,2440,1564,98,59,45,21,1297,810,138,99,106,410,280,352,299,350,960,94,198,0,70,242,1307,57,84,1131
Microbacterium indicum,24,666,657,537,65,92,101,122,917,221,32,0,20,239,464,35,39,9,11,2749,9476,33,41,58,188,103,146,107,145,370,42,61,0,32,121,190,18,19,651
Corynebacterium aurimucosum,21,787,472,960,599,189,285,187,794,676,94,0,95,665,1209,64,81,91,56,3185,2336,145,68,97,279,736,279,193,197,755,157,233,0,105,392,756,59,89,1358
Rubritalea marina,0,81,1,6,11,22,22,40,15,7,52,0,30,113,16,291,105,2,3,13,72,2,1,6,3039,2187,3538,2751,3927,1632,369,90,0,0,6,23,2,3,108
Nevskia soli,31,990,351,2568,202,194,323,179,281,213,99,0,58,1767,1362,97,70,60,56,804,1372,181,126,136,380,299,392,298,403,2841,93,171,0,98,263,740,36,66,907
Prevotella multisaccharivorax,8,850,588,535,44,58,56,52,167,85,33,0,45,153,249,27,32,2030,2578,142,226,3578,37,4149,217,289,522,272,143,159,28,53,1,33,118,114,36,22,762
Lactobacillus gasseri,761,48,50,72,83,410,60,285,76,42,226,1,534,89,202,179,496,4983,5439,101,40,70,998,36,607,426,321,114,10,43,12,25,2,1143,57,176,23,39,109
Bacteroides fluxus,76,50,214,44,280,150,395,173,122,53,1174,0,968,264,378,2632,2431,674,753,64,65,641,112,686,665,669,741,612,379,228,1338,409,0,94,27,37,358,214,116
Chryseobacterium gleum,22,1590,1396,1385,132,58,191,27,818,261,46,0,17,1196,1368,12,10,86,3,1865,3357,58,26,67,79,9,22,15,9,258,35,467,261,22,159,660,80,81,1722
Thauera linaloolentis,37,775,391,958,205,220,311,237,620,216,125,0,87,992,1333,129,115,106,111,1407,3636,141,125,116,568,407,576,400,567,637,86,147,1,99,224,791,48,81,785
Cucumibacter marinus,40,560,321,2016,145,125,236,120,190,108,117,0,82,1609,787,113,72,41,39,5376,733,131,161,79,394,294,436,368,490,524,100,117,18,154,237,750,37,45,607
Sphingomonas jaspsi,30,1103,386,3234,145,145,257,70,305,213,94,0,49,2873,1510,78,70,51,26,1307,1683,88,65,75,130,84,65,39,32,895,89,190,1,67,213,1115,39,58,817
Silanimonas lenta,33,641,460,1073,125,103,164,142,837,203,82,0,50,660,3753,66,59,48,37,1415,4814,176,62,179,136,82,70,75,26,339,62,86,0,89,170,772,16,30,546
Prevotella melaninogenica,17,630,367,433,122,27,82,16,639,265,25,0,20,8530,248,30,24,1052,1095,211,100,1067,8,1045,136,168,157,78,32,94,59,39,0,8,42,89,26,49,645
Sandarakinorhabdus limnophila,23,1057,344,3041,146,117,214,77,188,189,83,0,52,2855,935,69,48,57,52,858,1241,129,68,105,352,285,416,344,409,1078,112,208,1,66,160,701,36,62,962
